INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
Podcast Relatos de Cuadra,"Es una serie de episodios grabados en audio y transmitidos por internet en nueve capítulos coproducidos entre la entidad y habitantes de las localidades de Santa Fe, Usme y San Cristóbal en el desarrollo de las obras del programa de Mejoramiento de Barrios de la CVP.",241,44,Caja De Vivienda Popular,Hábitat
Proyecto Piloto Plan Terrazas,"Formular e implementar un proyecto piloto para mejorar las condiciones de habitabilidad de las viviendas de estratos 1 y 2 de Bogotá, mediante la asistencia técnica, social, jurídica y financiera con el fin de legalizar  y reconocer los esfuerzos de los que han ayudado a autoconstruir los barrios. El proyecto se desarrolla a través del Proyecto Piloto, la Curaduría Pública Social y el Banco Distrital de Materiales.",242,44,Caja De Vivienda Popular,Hábitat
Pactos por el Hábitat Digno,"Desarrollado a través de la metodología Mente (Lo que pensamos)+ Cuerpo (Lo que somos, lo hacemos)+ Espíritu (Lo que hacemos), del Manual de Gestión Social. Es un proyectos que brinda los instrumentos conceptuales, metodológicos, técnicos y logísticos para garantizar en nuestras obras una efectiva incidencia de la participación de la ciudadanía que colabora, co-cocrea y co-construye sus barrios, a través de pactos concretos y con la puesta en obra a escala barrial.",243,44,Caja De Vivienda Popular,Hábitat
Tablero de control - Aplicación Web Recaudo Impuesto Predial 2015 a 2020 ,"Analizar el comportamiento del recaudo predial en el periodo 2015 a 2020, agregado por localidad y Unidad de Planeamiento Zonal - UPZ. Proyecto Con la colaboración de la Secretaría Distrital de Hacienda (SDH) se analizó ",244,45,Unidad Administrativa Especial De Catastro,Hacienda
Mercados campesinos itinerantes ,"Identificar lugares o emplazamientos dentro de la ciudad que por sus características y condiciones de entorno favorecen 
la ejecución y afianzamiento de la estrategia de mercados campesinos itinerantes en el contexto de la reactivación económica de la ciudad ",245,45,Unidad Administrativa Especial De Catastro,Hacienda
Tablero de control de la Defensoría del Ciudadano ,"Realizar el análisis descriptivo de las palabras utilizadas por los ciudadanos en las peticiones realizadas a través de la plataforma Bogotá te Escucha, y que son de competencia de la UAECD, con el fin de asegurar un mayor entendimiento del lenguaje del ciudadano en el marco de tonos positivos y negativos frente a la entidad, que permita generar acciones adecuadas en cada caso, tales como alertas, intervenciones, seguimiento y monitoreo. ",246,45,Unidad Administrativa Especial De Catastro,Hacienda
Tablero de control para el seguimiento del índice de calidad de los datos de la IDE de Bogotá ,Tablero de control que permite hacer un seguimiento al índice a los datos geográficos temáticos y el Mapa de Referencia de parte de las entidades y el monitoreo constante por parte de IDECA y de la ciudadanía en general ,247,45,Unidad Administrativa Especial De Catastro,Hacienda
Tablero de control de la Infraestructura de Datos Espaciales de Bogotá ,"Permite hacer seguimiento de la oferta y demanda, uso y aprovechamiento de los recursos geográficos dispuestos en la IDE de Bogotá. ",248,45,Unidad Administrativa Especial De Catastro,Hacienda
Sistema de Registro de Ítems Geográficos. ,"Diseño e implementación de la nueva versión del sistema de registro de ítems geográficos, como herramienta para implementar el estándar ISO 19135 en el marco de la IDE de Bogotá, en términos de creación, aprobación, publicación y mantenimiento de ítems geográficos a través de un aplicativo web. ",249,45,Unidad Administrativa Especial De Catastro,Hacienda
Aplicación Mapas Bogotá. ,"Mejoras para integrar componentes y/o funcionalidades orientadas a disponer información en tempo real, visualización 3D ",250,45,Unidad Administrativa Especial De Catastro,Hacienda
Aplicación Móvil Mapas Bogotá Bici. ,Nueva versión de la APP orientada a fortalecer el componente de experiencia de usuario conforme a las necesidades identificadas por usuarios y por algunos actores del Distrito. ,251,45,Unidad Administrativa Especial De Catastro,Hacienda
Plataforma de Información Geográfica. ,"Actualizaciones orientadas a vincular lineamientos de accesibilidad web, conforme a las directrices del gobierno nacional y en particular de MinTIC a través de la Resolución 1519 de 2020 ",252,45,Unidad Administrativa Especial De Catastro,Hacienda
Servicio de Geocodificación. ,"Vinculación de mejoras al servicio de geocodificación y generación de un nuevo desarrollo orientado a la disposición y consumo de dicho servicio a través de una API, para permitir su integración en plataformas y/o aplicaciones del Distrito. ",253,45,Unidad Administrativa Especial De Catastro,Hacienda
Visor del mercado inmobiliario Bogotá-Región ,"Herramienta para la difusión y acceso a la información de ofertas (venta o arriendo) de inmuebles residenciales y no residenciales. Permite realizar consultas dinámicas que se visualizan en mapas y tablas de gráficos, para Bogotá/municipios, localidades, UPZ y sectores catastrales. Permite la descarga de informes. Datos desde 2017. ",254,45,Unidad Administrativa Especial De Catastro,Hacienda
Visor Cifras del Censo Inmobiliario de Bogotá ,"Herramienta para consultar los resultados del proceso de actualización catastral de la información física, del inventario de predios de Bogotá, generando mapas, gráficos e indicadores, diferenciados por estrato, grupo económico, tipo de suelo, clase de predio, localidades, UPZ y manzanas. Disponible desde la vigencia 2010 ",255,45,Unidad Administrativa Especial De Catastro,Hacienda
Tablero para el análisis de impactos fiscales (territorio),"Herramienta que permite la generación de escenarios fiscales, en entidades territoriales, de acuerdo con diferentes parámetros que se pueden ajustar, como por ejemplo el porcentaje de recaudo histórico, el porcentaje de avalúo catastral sobre comercial, las tarifas tributarias y posibles topes adicionales que puede establecer la administración municipal sobre el crecimiento del IPU. ",256,45,Unidad Administrativa Especial De Catastro,Hacienda
Metodología de capitalización para liquidación de avalúos rurales (territorio),"Metodología que permite obtener resultados que pueden complementarse y validarse con la información de mercado que se logre capturar en territorio. En este sentido, el ejercicio se considera complementario como una forma de contrastar y validar los resultados obtenidos en campo ",257,45,Unidad Administrativa Especial De Catastro,Hacienda
Herramienta liquidación de avalúos en conservación en territorio,Herramienta que permite liquidar de forma rápida un conjunto de predios según los atributos de estos. Esto es beneficioso en los casos cuando se ajusta la información física y se debe reliquidar los avalúos. ,258,45,Unidad Administrativa Especial De Catastro,Hacienda
HERRAMIENTA SEGUIMIENTO ASIGNACIÓN TRAMITES NO INMEDIATOS,"esta herramienta es alimentada con la información tomada desde el SIIC y relacionada con los trámites catastrales atendidos por la GIC-SIFJ-SIE, en la cual se estableció que la forma de consulta será el documento de identificación de cada funcionario y contratista que atiende trámites. Cuenta con un semáforo que indica, acorde con el número de días transcurridos desde la fecha de radicación y asignación si se encuentra dentro de los plazos de respuesta establecidos por ley.",259,45,Unidad Administrativa Especial De Catastro,Hacienda
1. InfoBI,Herramienta de seguimiento en tiempo real al presupuesto de la Secretaría General.,260,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
2. Modelo Sistémico de Planeación y Seguimiento de la secretaría General,"Herramienta integral para realizar el seguimiento a planes, procesos, programas, proyectos con el fin de orientar la gestión de la entidad a un enfoque por resultados que d cuenta de los avances del Plan Dsitrtial de Desarrollo.",261,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
3. Certicont,Aplicativo en línea para descargar certificados de los contratistas de la Secetaría General.,262,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
4. Secretaría General en Datos,"Herramienta dinámica construida en Power BI, que permite visualizar información territorializada y con series históricas comparables, donde se encuentran aspectos generales, los trámites y servicios de la Entidad.",263,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
5. Sistematización del informe ejecutivo de relacionamiento con la ciudadanía,Automatización para facilitar la visualización en Power BI del Informe ejecutivo de relacionamiento con la ciudadanía que se elabora trimestralmente dirigido a los gerentes públicos de 53 entidades distritales.,264,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
6. Senda de Integridad,Estrategia para fortalecer la cultura de integridad en las entidades del Distrito.,265,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
7. Sistema Unificado Distrtial de IVC-SudIVC,"Plataforma tecnológica para presentar información clara sobre trámites y normativa de Inspección, Vigilancia y Control sobre establecimiento de comercio.",266,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
8. Markers de soluciones: reto SIDICU,Estrategia para la identificación de factores involucrados en la recolección de datos en las manzanas de cuidado.,267,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
9. Chatico - Causas Ciudadanas y presupuestos participativos,Herramienta para facilitar la votación de la ciudadanía en 19 localidades (sin Sumapaz) y de forma masiva en torno a presupuestos participativos y causas ciudadanas.,268,46,Secretaría General De La Alcaldía Mayor De Bogotá,Gestión Pública
Cortometraje robinson,"Describa la innovación diseñada: Proyecto audiovisual Cortometraje ROBINSON, donde intervienen organizaciones, colegios, organizaciones sociales y culturales, organizaciones de recicladores, JAC, comunidad general de Ciudad Bolívar.",269,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
Estrategia de Comunicacion ALCB,"Se propone elaborar una estrategia de comunicación dirigida a todas y todos los habitantes de la Localidad, que tiene como pilares fundamentales, la transparencia, la construcción colectiva con la ciudadanía y la justificación de la toma de decisiones; desde la comunicación educativa como acción de doble vía para empoderar las comunidades poniendo a disposición los distintos canales y mensajes efectivos que garanticen el desarrollo de acciones comunicacionales trasmedia.",270,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
"Matriz DOFA, Área de Participación","Implementar la herramienta estratégica de  diagnóstico para facilitar la organización del Área de Participación de la ALCB, 
identificar aspectos de mejora que impacten a la ciudadanía, ya que por la duración contractual de los profesionales, no hay ruta o plan de trabajo en el Área.",271,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
"CONVERSATORIO ¿Cómo se ordena mi territorio urbano 
rural?","Exploración y reactivación de la participación incidente con la ruralidad de la localidad, después de pandemia; orientada a 
colegios y organizaciones ambientales de la zona rural.",272,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
"Jornadas de Caracterización a jóvenes de la Localidad 
19 / PARCEROS CIUDAD BOLÍVAR","Describa la innovación diseñada: La propuesta es desde nivel central, pero se  armonizo y desarrollaron varias estrategias adaptadas a la localidad, el propósito  contribuir con la reducción del riesgo social de jóvenes vulnerables entre los 18 y 28  años de edad, a través de su inclusión en las dinámicas educativas, sociales,  orientación socio ocupacional y formación en habilidades para el trabajo.",273,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
"Estrategia Bogotá a Cielo abierto / Sector Paraíso Mirador 
Ciudad Bolívar","En el marco de generar un piloto de zona  gastronómica a cielo abierto en el Sector de Paraíso Mirador el día 07 de agosto 
de 2021. Estrategia Bogotá a Cielo Abierto.",274,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
Rueda de Prensa Niños de la Localidad de Ciudad Bolívar,"Se plantea esta actividad, reactivación de la
participación incidente con niños, niñas y adolescentes de la localidad, después
de pandemia; un formato de programa donde los ellos fueron los protagonistas y
quienes decidieron el contenido del segmento",275,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
Laboratorios Cívicos en el marco del proceso de presupuestos participativos 2021,"Ejercicio de innovación, en articulación con la
Secretaría Distrital de Gobierno; espacios de pedagogía, cualificación y construcción colectiva de propuestas ciudadanas. Buscan guiar a la ciudadanía en la construcción de propuestas, garantizar el registro de propuestas y generar aprendizaje sobre planeación local.",276,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
Taller Identificación De Actores /SDP,"reconocer los temas y lugares de mayor interés en el territorio para cada uno de los ciudadanos, ciudadanas u organizaciones de la localidad, Mapa- Cartografía social, Identificación de personas, movimientos u organizaciones que tengan temas de interés, influencia o representatividad en la localidad de Ciudad Bolívar, con el objetivo de actualizar y caracterizar la información sobre los espacios de participación ciudadana en procesos de planeación que la entidad maneja de manera transversal",277,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
Jornada Creación De Persona Jurídica Jac,"Se diseñó esta actividad, para facilitar y fortalecer en capacidades a líderes comunales. Jornada de creación persona jurídica en la Plataforma SECOP II, registro de los presidentes de JAC de Ciudad Bolívar; que se postulan para ser beneficiados con elementos y dotación para sus organizaciones,",278,47,Alcaldía Local De Ciudad Bolívar,Sector descentralizado territorialmente
"Prototipo aplicación móvil para lectura de resultado de pruebas rápidas VIH, Sífilis y Hepatitis",Modelo computacional para apoyo a la tamización y diagnóstico de tuberculosis pulmonar del proyecto de investigación,279,48,Subred Integrada De Servicios De Salud Centro Oriente E.S.E.,Salud
Dispositivo FAUNATICOS. Ecosistema de Conocimiento. Grupos de laboratorio de Investigación I y II,"Dispositivo para la Identificación de puntos y momentos claves en el desarrollo de conocimiento a partir de la identificación, reconocimiento e interiorización y transferencia de éste, partiendo del reconocimiento de actividades internas relevantes para cada área y las relaciones entre estas, con el fin de facilitar redes de conocimiento y para disminuir la curva de aprendizaje del personal nuevo que ingresa al IDPYBA.",280,49,Instituto Distrital De Protección Y Bienestar Animal - Idpyba,Ambiente
Modelo estratégico CULTURA COMPARTE,Modelo estratégico CULTURA COMPARTE: Bitácora para la creación de cultura de conocimiento e innovación: Diseño de una estrategia para consolidar y promover la cultura de conocimiento dentro de entidades públicas a partir de metodologías adaptativas derivadas de la Gestión de Diseño.,281,49,Instituto Distrital De Protección Y Bienestar Animal - Idpyba,Ambiente
Proyecto 7550 Fortalecimiento Institucional de la Estructura Organizacional del IDPYBA Bogotá,"Alternativa que en el marco de los Planes de Desarrollo tanto Nacional como Distrital, responderá ampliamente a la necesidad organizacional del Instituto, con la realización de acciones que consoliden la gestión pública productiva, transparente y eficiente con calidad, reflejadas en la atención oportuna de las necesidades identificadas por las áreas misionales y de apoyo, teniendo como pilar fundamental la Política Publica de Protección y Bienestar Animal.",282,49,Instituto Distrital De Protección Y Bienestar Animal - Idpyba,Ambiente
Proyecto 7555 Implementación proceso investigación y gestión del conocimiento para la PYBA,"Desarrollar un proceso institucional de investigación y gestión del conocimiento para la defensa, protección y bienestar animal. La generación de convenios con instituciones y organizaciones ambas a nivel nacional e internacional permite fomentar la investigación y gestión del conocimiento. Por otro lado, la implementación de semilleros de investigación permite vincular a la ciudadanía en los procesos de investigación.",283,49,Instituto Distrital De Protección Y Bienestar Animal - Idpyba,Ambiente
Campus Virtual,Plataforma de Capacitación Virtual http://campus.bomberosbogota.gov.co/ para los ciudadanos y empresas de Bogotá: Implementación de las TIC en los procesos de aprendizaje y formación en lo referente a la modalidad virtual asincrónica y la autogestión del tiempo para el desarrollo de los cursos.,284,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Sala de monitoreo,"Tiene como objetivo realizar seguimiento en tiempo real de los eventos atendidos por la entidad y generar datos e información que permitan conocer el comportamiento de los fenómenos amenazantes, se utilizan herramientas libres tales como el FIRMS de la NASA, SAB SIRE del IDIGER, OSOCC de Naciones Unidas, Metartaf de la Aeronautica Civirl, WINDY, Premier ONE del C4; los cuales al ser libres no generan costo.",285,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
LOG+ (Logística suma),"Desde año 2021, se realizaron las acciones para poner en funcionamiento la herramienta LOG+ (Logística suma) es una herramienta de información WEB INHOUSE, que permite el registro, seguimiento y medición de solicitudes del parque automotor, adicionalmente permite optimizar los procesos, automatizar el flujo de autorización brindando confiabilidad y seguridad de la información realizados por la Subdirección Logística.",286,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
"Herramienta digital "" Mapa Humano""","Es una herramienta a través de la cual los servidores públicos podrán reportar las novedades de los cursos, capacitaciones y formaciones directamente a La Escuela de Formación Bomberil, con el fin de realizar las respectivas actualizaciones.
Objetivo: Realizar de manera practica la actualización de datos, cargue de soportes de las capacitaciones y formaciones realizadas por nuestros servidores.
Alcance: Aplica a los servidores de la UAE Cuerpo Oficial de Bomberos de Bogotá.",287,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Planilla de simulación liquidación de horas laboradas:,"Objetivo: Generar el cálculo de holas laboradas mensualmente.
Alcance: Aplica a los servidores de la UAE Cuerpo Oficial de Bomberos de Bogotá.
Prototipo: La herramienta contó en su momento con un prototipo de prueba, pero actualmente se encuentra en uso a través de la herramienta Share Point.",288,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Generación de resolución aplicativo SIAP:,"Objetivo: Generar a través del aplicativo de Administración de Personal SIAP la resolución por licencia de enfermedad general y/o accidente de trabajo
Alcance: Aplica a los servidores de la UAE Cuerpo Oficial de Bomberos de Bogotá.
Prototipo: Aplicativo SIAP actualizado y en uso.",289,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Matriz de administración de incapacidades,"Objetivo: Generar información de incapacidades radicas en la entidad, con toda la trazabilidad de gestión.
Alcance: Entes de control internos y externos, así como personal administrativo que requiera la información. 
Prototipo: Matriz con los respectivos soportes por incapacidades en uso.",290,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Tablero de Control (Dashboard),"Es un aplicativo desarrollado en la herramienta de visualización de datos Power BI, que cuenta con información sobre la gestión de la entidad en avances por Plan Institucional, la implementación de las políticas de MIPG; avance en la ejecución presupuestal general y proyectos de inversión y la ejecución del PEI para la vigencia actual en relación con el cuatrienio, esto con el objetivo de generar alertas que permitan sumar esfuerzos para el cumplimiento oportuno de estos.",291,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Pabellón del conocimiento y la Innovación,"Espacio para la apropiación del conocimiento, el cual, se encuentra orientado a recrear la historia y generar  en herramientas que permitan la utilización e indagación de todos los conocimientos que produce la entidad en sus diferentes líneas misionales.",292,50,Unidad Administrativa Especial Cuerpo Oficial De Bomberos De Bogotá - Uaecob,"Seguridad, Convivencia y Justicia"
Cityemprende,"La plataforma CityEmprende , están dirigidos a emprendimientos de la Economía Informal y por subsistencia; es decir que son la única fuente de ingresos, son emprendimientos por necesidad y no están formalizados.",293,51,Instituto Distrital Para La Economía Social,"Desarrollo Económico, Industria y Turismo"
Centro de Innovación Gastronómica,"La innovación gastronómica propone la investigación cultural, antropológica o de mercado para crear una propuesta culinaria novedosa e innovadora. Detectar tendencias es una forma de comprender lo que los consumidores hacen ahora y lo que pueden hacer en el futuro.",294,51,Instituto Distrital Para La Economía Social,"Desarrollo Económico, Industria y Turismo"
Mesa de Ayuda,Desarrollo en GLPI (software gratuito) que registra las solicitudes de soporte técnico de la entidad.,295,51,Instituto Distrital Para La Economía Social,"Desarrollo Económico, Industria y Turismo"
DATATOOLS,"Se elaboró un data estudio  con la información de los bienes inmuebles de propiedad, copropiedad, administración indirecta ( predios patrimonio inmobiliario distrital que maneja y DADEP) y comodatos que administra la entidad a través de la Subdirección de Gestión, Redes Sociales e Informalidad ( 30 Puntos Comerciales aproximadamente) y Subdirección de Emprendimiento, Servicios Empresariales y Comercialización ( 19 Plazas de Mercado).",296,51,Instituto Distrital Para La Economía Social,"Desarrollo Económico, Industria y Turismo"
ISAAC - Innovadora Solución de Alertas Articuladas de Control,"Herramienta de seguimiento que permita la generación de alertas tempranas, que permita tener un control transversal en las actividades desarrolladas en la alcaldía",297,52,Alcaldía Local De San Cristóbal,Sector descentralizado territorialmente
Video Analítica para identificación de Evasión,Analítica de datos para combatir los altos niveles de evasión que se presentan en el sistema en todos sus componentes.,298,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
Consulta tarjetas de operación,Botón en la pagina web principal de la entidad para consultar las tarjetas en operación,299,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
Reto innovación abierta,"Este ejercicio, organizado y liderado por el Comité de Gestión del Conocimiento e Innovación, tuvo como propósito escuchar ideas encaminadas a reducir y mejorar los tiempos que la comunidad usuaria utiliza en esperar los buses.",300,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
Congreso Internacional Transporte por Cable Urbano organiza TRANSMILENIO,"El primer congreso internacional de transporte por cable urbano, promovido por la empresa del tercer milenio TRANSMILENIO S.A, tiene como fin transmitir conocimiento e intercambiar vivencias y buenas prácticas en relación con el transporte urbano por cable, encaminados en potenciar la calidad de vida de los usuarios y promover este modo de transporte como una solución a la movilidad",301,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
Pantallas de información en paraderos zonales del sistema,"Pantallas instaladas en los paraderos zonales del sistema los cuales muestran información de las rutas que pasan por allí, entre otra información de interés general",302,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
Nueva versión de TransMiApp,"Actualización a la aplicación, agregando ubicaciones en tiempo real y líneas de atención de emergencia y línea purpura",303,53,Empresa De Transporte Del Tercer Milenio - Transmilenio S.A.,Movilidad
La Fórmula de la Transparencia,"Se diseñado La Fórmula de la Transparencia para liderar con todo el equipo de la alcaldía local un trabajo efectivo, diligente y honesto, que deje como principal resultado, una administración transparente y un trabajo sobre la mesa para la  ciudadanía. Se suma a la estrategia Gobierno Abierto de Bogotá - GAB, inspirado en los mandatos ciudadanos de lucha contra la corrupción y para promover la transparencia y la democratización de la gestión pública.",304,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Descubre y Enamórate de Bosa,"Busca posicionar y difundir las expresiones culturales, artísticas, escenarios y maravillas de la localidad de Bosa a través de la estrategia Descubre y Enamórate de Bosa. Esta estrategia busca que las bosunas y bosunos reconozcan y elijan de la localidad siete (7) maravillas, por las cuales nos sentiremos reconocidos a nivel distrital, nacional e internacional, Enamorados y orgullosos",305,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Estrategia EGAT,"Se genera la EGAT, como una ruta de acción que permita apropiar valores de integridad, ética y transparencia en todas las áreas de la alcaldía, en el marco de la  Directiva 005 de 2020 sobre directrices de Gobierno Abierto – GABO , la cual se inspira en la lucha contra la corrupción, la transparencia y la democratización de la gestión pública.",306,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Saberes Ancestrales,"Su propósito principal es el reconocimiento y visibilización de los saberes ancestrales de los pueblos y comunidades étnicas de Bosa, a partir de sus principios de  salud y cultura que rescata y enmarca la “Escuela de Saberes Ancestrales”",307,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Estrategia de Innovación Social,"Implementar la estrategia que permita visibilizar, reconocer, crear y fortalecer estrategias creativas, innovadoras y eficientes para atender las necesidades y problemáticas de la localidad de Bosa.",308,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Salas amigas de la familia lactante,"Estrategia de promoción, protección y apoyo a lactancia maternal, en donde se construyen salas con las condiciones adecuadas y sanitarias para la lactancia",309,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Presupuestos participativos,"Es la estrategia que se está ejecutando con la Secretaría Distrital de Gobierno para desarrollar iniciativas propuestas por la ciudadanía como obras, capacitaciones, iniciativas de turismo, deporte, cuidado a niños y adultos entre otros con recursos de los Fondos de Desarrollo Local que beneficien a los territorios, fortaleciendo el tejido social.",310,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Estrategia de recuperación del espacio público,"Busca del mejoramiento, mantenimiento y preservación del espacio público y reubicación de los vendedores informales de la zona y la garantía de un adecuado espacio público para los habitantes del sector.",311,54,Alcaldía Local De Bosa,Sector descentralizado territorialmente
Escuela SubaLab,"Es un espacio de formación en participación ciudadana para que las comunidades, a partir de formación en diferentes temas y mediante una plataforma de aprendizaje autogestionada, complementada con sesiones prácticas colectivas, sesiones virtuales y presenciales en donde se generen espacios de reflexión en torno a las problemáticas locales bajo metodologías de pensamiento de diseño",312,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Evoke,"Se desarrolló un proyecto en alianza con el Banco Mundial para testear un programa gamificado que utiliza las TIC para conectar a los jóvenes con los retos sociales, a través de un proceso de innovación estructurado. Utilizando una novela gráfica para trabajar con problemas globales que son resueltos por los jóvenes en un entorno hiperlocal.  EVOKE conecta con otros actores que tienen la capacidad para que conviertan sus soluciones en proyectos de vida sostenibles.",313,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Suba oferta,"Es un espacio virtual alojado en la página de Subalab. Producto de la necesidad que tiene la Alcaldía Local de Suba de ofertar los programas y beneficios que está ofertando para tener un mayor alcance, para que más personas puedan enterarse de estas y así mismo se beneficien. También es una forma de demostrar transparencia en los procesos llevados a cabo dentro de la entidad.",314,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Laboratorios cívicos,"Los laboratorios cívicos promovieron el diálogo y la concertación de ideas y propuestas en cuanto al manejo de los recursos públicos para la solución de las mismas. Se gestaron 12 espacios de diálogo y concertación acorde a la diversa población que maneja la localidad, para garantizar el ejercicio de participación en la construcción de ideas para presupuestos participativos",315,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Subacamp,"Se formó a los funcionarios/as / contratistas con herramientas y metodologías de ideación, prototipado, innovación y creatividad, que les permitiera facilitar los procesos de presupuestos participativos, por medio de talleres, donde los participantes por grupos pudieron generar ideas para proponer metodologías de pedagogía y socialización de convocatoria a la ciudadanía para la participación en Presupuestos participativos y/o laboratorios cívicos.",316,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Corazón subano,"con el propósito de apoyar en el cumplimiento de la meta de fortalecer a organizaciones sociales de la localidad. SubaLab desde metodología de pensamiento de diseño, enfocada en la resolución de retos públicos formó tanto a funcionarios como a la ciudadanía para utilizar las herramientas en el ejercicio, se espera que las organizaciones las hayan adoptado para utilizarlas en otros momentos donde las vean necesarias.",317,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
CAJA DE ESCAPE,se escuchó a diferentes personas de las oficinas de la Alcaldía para desarrollar una herramienta que permitiera la gestión de las emociones y dar tratamiento a las situaciones que ocurrieras a los/las funcionario/as,318,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Tableros de control power BI,Enfocados en trabajar bajo los lineamientos de Gobierno Abierto y con el fin de poner la información a disposición de la ciudadanía en materia de transparencia la Unidad de cumplimiento simplifica la información en tableros interactivos,319,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Baños como en casa,Con el fin de responder a las solciitudes y recomendacioines se diseñaron piezas gráficas para promover el buen uso de los baños de la ALS,320,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Liquidador,"Con el propósito de evitar el proceso manual y agilizar el pago de salarios  de los /las funcionario/as y contratistas se creó un liquidador que funciona tomando la matriz de cumplimiento de los requisitos y liquidando a quienes cumplen totalmente. Unifica los formatos para documentos, simplifica los procesos y mejora la calidad del bienestar del capital humano",321,55,Alcaldía Local De Suba,Sector descentralizado territorialmente
Propuesta de urbanismo táctico al monumento Almirante Padilla,"Análisis oportuno de insumos, tanto existentes como necesarios, para expresar una intervención que mitigue oportunamente los impactos reconocidos en el Bien Mueble (B.M.) del Almirante José Prudencio Padilla",322,56,Instituto Distrital De Patrimonio Cultural,"Cultura, Recreación y Deporte"
Didáctico Pasaporte a la Independencia,"Prototipamos para poder evolucionar la idea museográfica del didáctico impreso. Prototipamos para que lo prueben los usuarios reales. Prototipamos para que la embajada pueda darnos una opinión sobre la idea presentada. Construimos el prototipo, en equipo, para mejorar la narrativa del didáctico impreso y de la conexión museográfica.",323,56,Instituto Distrital De Patrimonio Cultural,"Cultura, Recreación y Deporte"
Sesiones de transferencia de conocimientos Programa Adopta un Monumento,"Transferir los conocimientos del Grupo Bienes Muebles y Monumentos con nuestros compañeros homólogos de GAD Cuenca, Ecuador y apoyar así el proceso de mejora que están implementado en sus áreas y equipos de trabajo",324,56,Instituto Distrital De Patrimonio Cultural,"Cultura, Recreación y Deporte"
